identifier,title,date,language,collection,url,keywords
dr_imago-romanii-imperii-ssp-et-d-n-clementi-xi-pom-rom-imp-imagin-9936000,"Imago Romanii Imperii. S.S.P., et D. N. Clementi XI P.O.M. Rom. Imp. Imagin. Hier. Andreas Martignonus D.D.D. ; Barth. Ioseph Tasniere sculp. Taurini 1718.",1721,[None],david-rumsey-map-collection,https://archive.org/download/dr_imago-romanii-imperii-ssp-et-d-n-clementi-xi-pom-rom-imp-imagin-9936000/9936000.jpg,#historical #datavisualization
dr_mongolenreich-nach-1250-produktion-angefertigt-fr-das-bibliographische-i-14080013,"Mongolenreich nach 1250: Produktion. Angefertigt für das Bibliographische Institut AG., Leipzig. Gesellschafts- und Wirtschaftsmuseum in Wien. ©","['1250', '1930']",[None],david-rumsey-map-collection,https://archive.org/download/dr_mongolenreich-nach-1250-produktion-angefertigt-fr-das-bibliographische-i-14080013/14080013.jpg,#statistical #naturalresources #historical #datavisualization
dr_the-new-buildings-at-croydon-aerodrome--first-floor-plan-ground-floor-plan-14344084,"The new buildings at Croydon aerodrome : First floor plan-Ground floor plan. H.M.S.O., Cr.",1926,[None],david-rumsey-map-collection,https://archive.org/download/dr_the-new-buildings-at-croydon-aerodrome--first-floor-plan-ground-floor-plan-14344084/14344084.jpg,#airlines #military #datavisualization
dr_mountains-drawn-and-engraved-by-john-emslie-london-published-by-james-re-3431005,Mountains. Drawn and engraved by John Emslie. London. Published by James Reynolds 174 Strand. (to accompany) Geological Diagrams.,1851,[None],david-rumsey-map-collection,https://archive.org/download/dr_mountains-drawn-and-engraved-by-john-emslie-london-published-by-james-re-3431005/3431005.jpg,#mountains;rivers #datavisualization
dr_xxx-palmanova-55-10198079,XXX. Palmanova. 55.,1963,[None],david-rumsey-map-collection,https://archive.org/download/dr_xxx-palmanova-55-10198079/10198079.jpg,#landuse #datavisualization
dr_view-taf-xii-arbildungen-aus-der-meteorologie-die-verschiedenen-ersche-7990019,"(View) Taf. XII. Arbildungen aus der Meteorologie, die Verschiedenen Erscheinngen der Atmosphare Darstellend. (Pictures from meteorology, depicting the different states of the atmosphere.)","['1855', '1851']",[None],david-rumsey-map-collection,https://archive.org/download/dr_view-taf-xii-arbildungen-aus-der-meteorologie-die-verschiedenen-ersche-7990019/7990019.jpg,#celestial #datavisualization
dr_frontispiece-lengths-of-the-principal-rivers-in-the-world-heights-of-the-4835003,(Frontispiece) Lengths of the Principal Rivers in the World. Heights of the Principal Mountains in the World.,1850,[None],david-rumsey-map-collection,https://archive.org/download/dr_frontispiece-lengths-of-the-principal-rivers-in-the-world-heights-of-the-4835003/4835003.jpg,#mountains;rivers #datavisualization
dr_i-have-returned-time-map-by-rm-chapin-jr-for-report-documenting-above-11770000,"I have returned. TIME map by R.M. Chapin, Jr. For report documenting above map see TIME, October 30, 1944 issue.",1944,[None],david-rumsey-map-collection,https://archive.org/download/dr_i-have-returned-time-map-by-rm-chapin-jr-for-report-documenting-above-11770000/11770000.jpg,#worldwarii #military #pictorialmap #datavisualization
dr_temperate-zone-10096006,Temperate Zone.,1893,[None],david-rumsey-map-collection,https://archive.org/download/dr_temperate-zone-10096006/10096006.jpg,#school #pictorialmap #thematic #datavisualization
dr_hozehaye-abgir-roodkhaneha--river-basins-to-accompany-atlas-of-iran--13114063,"Hozehaye abgir, roodkhaneha = River basins. (to accompany) Atlas of Iran : white revolution = Atlas-i Enqelab-e Sefid-e Iran. Sahab G. D. I.",1972,[None],david-rumsey-map-collection,https://archive.org/download/dr_hozehaye-abgir-roodkhaneha--river-basins-to-accompany-atlas-of-iran--13114063/13114063.jpg,#datavisualization #rivers
dr_-----kharituh-zamaniat-lilealam-alearabii--min-sada-13527002,"خريطه زمنية للعالم العربي = Kharituh zamaniat lilealam Alearabii : min sadar al'islam hatta sanat 1962 m. = Timeline map of the Arab world. from early Islam until 1962. Talif : Abbas Mahmoud el Sherif. Muhamad Syd Nasr. Wizarat Altarbiat Waltaelim. Alnaashir : Shirkat markaz kitab Alsharq Alawsat, Alqahr. (cover) Kharitat raqm 1 : Alkharitat alzamaniat lilealam Alearabii.",1962,[None],david-rumsey-map-collection,https://archive.org/download/dr_-----kharituh-zamaniat-lilealam-alearabii--min-sada-13527002/13527002.jpg,#datavisualization #historical #ottomanmapping
dr_waterfalls-drawn-and-engraved-by-john-emslie-1846-london-published-by-j-3431007,"Waterfalls. Drawn and engraved by John Emslie, 1846. London. Published by James Reynolds 174 Strand. Reeves & Sons. Rocks & Co. Peacock & Mansfield. (to accompany) Geological Diagrams.","['1846', '1851']",[None],david-rumsey-map-collection,https://archive.org/download/dr_waterfalls-drawn-and-engraved-by-john-emslie-1846-london-published-by-j-3431007/3431007.jpg,#mountains;rivers #datavisualization
dr_grand-albero-genealogico-storico-dei-popoli-italiani-12315000,Grand' Albero Genealogico Storico Dei Popoli Italiani.,"['1826', '1827']",[None],david-rumsey-map-collection,https://archive.org/download/dr_grand-albero-genealogico-storico-dei-popoli-italiani-12315000/12315000.jpg,#historical #datavisualization
dr_map-of-the-union-republics-autonomous-republics-autonomous-regions-and-na-13675009,"Map of the Union Republics, Autonomous Republics, Autonomous Regions and National areas of the U.S.S.R. (to accompany) USSR. Soiuz Sovetskikh Sotsialisticheskikh Respublik = Union of Soviet Socialist Republics. Scientific Publishing Institute of Pictorial Statistics.",1939,[None],david-rumsey-map-collection,https://archive.org/download/dr_map-of-the-union-republics-autonomous-republics-autonomous-regions-and-na-13675009/13675009.jpg,#datavisualization
dr_a-new-map-of-the-world-there-will-be-a-cycle-change-of-this-globe-in-near-13290003,"A new map of the world (There will be a cycle change of this globe in near future). Copyright 1938 by Andrew Zingg, Iowa.",1938,[None],david-rumsey-map-collection,https://archive.org/download/dr_a-new-map-of-the-world-there-will-be-a-cycle-change-of-this-globe-in-near-13290003/13290003.jpg,#datavisualization
dr_lipton-lunar-space-map-zaffo-11431000,Lipton Lunar Space Map. Zaffo.,1969,[None],david-rumsey-map-collection,https://archive.org/download/dr_lipton-lunar-space-map-zaffo-11431000/11431000.jpg,#datavisualization #space
dr_system-according-to-the-holy-scriptures-drawn-by-issac-frost-printed-in-o-11274005,"System According to the Holy Scriptures. Drawn by Issac Frost. Printed in oil colors by G. Baxter, 11, Northampton Square, R., London. Engraved by W. P. Chubb & Son. (Muggletonian Celestial; Planetary Motion Prints). Plate 9.",1846,[None],david-rumsey-map-collection,https://archive.org/download/dr_system-according-to-the-holy-scriptures-drawn-by-issac-frost-printed-in-o-11274005/11274005.jpg,#celestial #pictorialmap #datavisualization #space
dr_a-new-chart-of-history-j-priestley-lld-frs-invt-et-del--to-benjamin-6747000,"A new chart of history. J. Priestley LLD. FRS. Invt. et del. : To Benjamin Franklin LL. D.F.R.S. this chart is in testimony of esteem & friendship, inscribed by his most obliged humble servt. Joseph Priestley. ""Pulman script. Butterworth sculpt. Leeds."" Engraved and published according to Act of Parliament April 11th. 1769 by J. Johnson in Pater-noster Row London. J. Bowles No. 13. Cornhill. C. Bowles No. 69. St. Pauls Church Yard. R. Sayer No. 53 Fleet Street and T. Jefferys the corner of St. Martins Lane Charing Cross. Where may be had Dr. Priestley's biographical chart pr. 10s. 6d.",1769,[None],david-rumsey-map-collection,https://archive.org/download/dr_a-new-chart-of-history-j-priestley-lld-frs-invt-et-del--to-benjamin-6747000/6747000.jpg,#historical #datavisualization
